Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins
0.517,0.051,0.567
0.577,0.031,0.608
0.577,0.031,0.608
0.577,0.031,0.608
0.399,0.035,0.434
0.399,0.035,0.434
0.472,0.025,0.497
0.308,0.039,0.347
0.343,0.056,0.399
0.745,0.038,0.783
0.36,0.043,0.403
0.36,0.043,0.403
0.354,0.077,0.43
0.354,0.077,0.43
0.291,0.043,0.335
0.428,0.043,0.471
0.428,0.043,0.471
0.309,0.089,0.398
0.309,0.089,0.398
0.414,0.076,0.49
0.414,0.076,0.49
0.414,0.076,0.49
0.414,0.076,0.49
3.768,0.09,3.858
0.616,0.071,0.687
0.293,0.079,0.371
0.293,0.079,0.371
0.301,0.065,0.365
1.634,0.081,1.714
1.634,0.081,1.714
0.167,0.078,0.244
0.131,0.165,0.296
0.301,0.195,0.496
0.379,0.071,0.45
0.561,0.082,0.644
0.945,0.033,0.979
0.517,0.032,0.549
0.517,0.032,0.549
0.517,0.032,0.549
1.38,0.03,1.41
0.836,0.033,0.869
0.836,0.033,0.869
0.659,0.036,0.695
0.507,0.03,0.537
0.607,0.033,0.64
0.607,0.033,0.64
0.417,0.029,0.446
0.417,0.029,0.446
0.417,0.029,0.446
0.584,0.035,0.619
0.584,0.035,0.619
0.584,0.035,0.619
0.609,0.032,0.641
0.609,0.032,0.641
0.646,0.026,0.673
0.609,0.032,0.641
0.371,0.035,0.406
0.17,0.07,0.24
0.17,0.07,0.24
0.323,0.027,0.35
0.323,0.027,0.35
0.323,0.027,0.35
0.242,0.042,0.284
0.242,0.042,0.284
0.242,0.042,0.284
0.199,0.035,0.234
0.395,0.022,0.417
0.603,0.029,0.632
0.603,0.029,0.632
0.169,0.051,0.22
0.345,0.027,0.372
0.345,0.027,0.372
0.293,0.021,0.314
0.298,0.034,0.332
0.298,0.034,0.332
0.506,0.02,0.526
0.506,0.02,0.526
0.506,0.02,0.526
0.201,0.039,0.24
0.201,0.039,0.24
0.131,0.063,0.193
0.201,0.039,0.24
0.241,0.035,0.277
0.127,0.066,0.194
0.127,0.066,0.194
0.127,0.066,0.194
0.329,0.036,0.365
0.278,0.041,0.32
0.226,0.045,0.271
0.092,0.1,0.192
0.205,0.041,0.246
0.256,0.046,0.302
0.256,0.046,0.302
0.178,0.031,0.21
0.175,0.041,0.217
0.178,0.031,0.21
0.178,0.031,0.21
0.178,0.031,0.21
0.134,0.044,0.178
0.087,0.092,0.179
0.191,0.053,0.244
0.205,0.037,0.242
0.153,0.054,0.207
0.19,0.046,0.236
0.329,0.039,0.368
0.227,0.037,0.263
0.231,0.035,0.266
0.227,0.036,0.263
0.231,0.035,0.266
0.226,0.037,0.263
0.199,0.034,0.233
0.216,0.035,0.251
0.276,0.041,0.318
0.186,0.032,0.218
0.171,0.031,0.202
0.265,0.031,0.296
0.265,0.031,0.296
0.265,0.031,0.296
0.265,0.031,0.296
0.094,0.071,0.165
0.225,0.035,0.26
0.153,0.033,0.186
0.193,0.033,0.226
0.24,0.034,0.274
0.24,0.034,0.274
0.225,0.035,0.26
0.225,0.035,0.26
0.04,0.072,0.112
0.074,0.061,0.136
0.127,0.055,0.183
0.076,0.125,0.201
0.096,0.12,0.215
0.059,0.056,0.114
0.057,0.067,0.124
0.137,0.03,0.167
0.221,0.048,0.269
0.137,0.03,0.167
0.137,0.03,0.167
0.121,0.037,0.158
0.137,0.03,0.167
0.07,0.072,0.142
0.039,0.021,0.06
0.105,0.032,0.137
0.093,0.022,0.115
0.042,0.03,0.072
0.08,0.037,0.116
0.061,0.032,0.093
0.138,0.059,0.197
0.032,0.067,0.1
0.106,0.028,0.134
0.106,0.028,0.134
0.312,0.123,0.435
0.155,0.095,0.25
0.155,0.095,0.25
0.155,0.095,0.25
0.169,0.131,0.3
0.165,0.063,0.228
0.248,0.032,0.28
0.192,0.037,0.229
0.205,0.035,0.24
0.121,0.032,0.153
0.264,0.05,0.314
0.145,0.082,0.227
0.328,0.031,0.359
0.328,0.031,0.359
0.215,0.046,0.261
0.215,0.046,0.261
0.472,0.023,0.495
0.144,0.032,0.176
0.213,0.066,0.279
0.293,0.029,0.322
0.292,0.016,0.307
0.203,0.044,0.247
0.229,0.033,0.262
0.143,0.059,0.202
0.219,0.038,0.257
0.309,0.038,0.346
0.24,0.045,0.285
0.349,0.043,0.392
0.349,0.043,0.392
0.355,0.036,0.391
0.37,0.024,0.394
0.681,0.027,0.708
0.352,0.043,0.395
0.137,0.013,0.15
0.102,0.012,0.114
0.203,0.013,0.215
0.151,0.013,0.164
0.134,0.013,0.146
0.134,0.013,0.146
0.384,0.031,0.415
0.231,0.014,0.245
0.115,0.051,0.166
0.167,0.063,0.229
0.38,0.016,0.396
0.238,0.053,0.291
0.122,0.075,0.196
0.151,0.098,0.249
0.113,0.1,0.213
0.183,0.111,0.294
0.183,0.111,0.294
0.213,0.086,0.299
0.216,0.089,0.305
0.216,0.089,0.305
0.216,0.089,0.305
0.254,0.086,0.339
0.122,0.103,0.225
0.122,0.103,0.225
0.146,0.044,0.19
0.11,0.059,0.17
0.139,0.031,0.17
0.056,0.082,0.138
0.075,0.028,0.104
0.073,0.083,0.156
0.118,0.11,0.228
0.078,0.109,0.187
0.19,0.102,0.292
0.221,0.098,0.32
0.123,0.102,0.225
0.123,0.102,0.225
0.123,0.102,0.225
0.123,0.102,0.225
0.123,0.102,0.225
0.123,0.102,0.225
0.149,0.0,0.149
0.149,0.0,0.149
0.149,0.0,0.149
0.149,0.0,0.149
0.147,0.0,0.147
0.147,0.0,0.147
0.147,0.0,0.147
0.147,0.0,0.147
0.147,0.0,0.147
0.147,0.0,0.147
0.085,0.0,0.085
0.085,0.0,0.085
0.085,0.0,0.085
0.085,0.0,0.085
0.085,0.0,0.085
0.085,0.0,0.085
0.085,0.0,0.085
0.147,0.0,0.147
0.147,0.0,0.147
0.109,0.0,0.109
0.109,0.0,0.109
0.109,0.0,0.109
0.147,0.0,0.147
0.147,0.0,0.147
0.147,0.0,0.147
0.147,0.0,0.147
0.117,0.0,0.117
0.117,0.0,0.117
0.117,0.0,0.117
0.117,0.0,0.117
0.117,0.0,0.117
0.117,0.0,0.117
0.147,0.0,0.147
0.147,0.0,0.147
0.147,0.0,0.147
0.147,0.0,0.147
0.147,0.0,0.147
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.131,0.0,0.131
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.235,0.0,0.235
0.235,0.0,0.235
0.235,0.0,0.235
0.235,0.0,0.235
0.235,0.0,0.235
0.235,0.0,0.235
0.235,0.0,0.235
0.235,0.0,0.235
0.235,0.0,0.235
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.078,0.0,0.078
0.078,0.0,0.078
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.187,0.0,0.187
0.051,0.0,0.051
0.051,0.0,0.051
0.104,0.0,0.104
0.104,0.0,0.104
0.104,0.0,0.104
0.104,0.0,0.104
0.104,0.0,0.104
0.104,0.0,0.104
0.104,0.0,0.104
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.101,0.0,0.101
0.101,0.0,0.101
0.101,0.0,0.101
0.101,0.0,0.101
0.101,0.0,0.101
0.101,0.0,0.101
0.238,0.0,0.238
0.238,0.0,0.238
0.238,0.0,0.238
0.238,0.0,0.238
0.238,0.0,0.238
0.238,0.0,0.238
0.238,0.0,0.238
0.238,0.0,0.238
0.238,0.0,0.238
0.151,0.0,0.151
0.151,0.0,0.151
0.151,0.0,0.151
0.151,0.0,0.151
0.151,0.0,0.151
0.196,0.0,0.196
0.196,0.0,0.196
0.204,0.0,0.204
0.204,0.0,0.204
0.204,0.0,0.204
0.204,0.0,0.204
0.204,0.0,0.204
0.204,0.0,0.204
0.204,0.0,0.204
0.204,0.0,0.204
0.204,0.0,0.204
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.194,0.0,0.194
0.194,0.0,0.194
0.194,0.0,0.194
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.163,0.0,0.163
0.091,0.0,0.091
0.091,0.0,0.091
0.091,0.0,0.091
0.091,0.0,0.091
0.976,0.0,0.976
0.976,0.0,0.976
0.976,0.0,0.976
0.976,0.0,0.976
0.976,0.0,0.976
0.558,0.0,0.558
0.558,0.0,0.558
0.618,0.0,0.618
0.618,0.0,0.618
0.618,0.0,0.618
0.618,0.0,0.618
0.618,0.0,0.618
0.618,0.0,0.618
1.115,0.0,1.115
1.115,0.0,1.115
1.115,0.0,1.115
1.115,0.0,1.115
1.115,0.0,1.115
1.115,0.0,1.115
0.499,0.0,0.499
0.499,0.0,0.499
0.499,0.0,0.499
0.499,0.0,0.499
0.499,0.0,0.499
0.499,0.0,0.499
0.499,0.0,0.499
0.499,0.0,0.499
0.499,0.0,0.499
0.499,0.0,0.499
0.499,0.0,0.499
1.558,0.0,1.558
1.558,0.0,1.558
1.558,0.0,1.558
1.558,0.0,1.558
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.208,0.0,0.208
0.19,0.0,0.19
0.257,0.0,0.257
0.257,0.0,0.257
0.568,0.0,0.568
0.568,0.0,0.568
0.568,0.0,0.568
0.568,0.0,0.568
0.076,0.055,0.131
0.081,0.055,0.136
0.071,0.054,0.125
0.09,0.07,0.16
0.09,0.07,0.16
0.09,0.07,0.16
0.043,0.053,0.097
0.061,0.009,0.071
0.061,0.009,0.071
0.061,0.009,0.071
0.061,0.009,0.071
0.061,0.009,0.071
0.061,0.009,0.071
0.026,0.043,0.068
0.026,0.043,0.068
0.026,0.043,0.068
0.026,0.043,0.068
0.11,0.0,0.11
0.11,0.0,0.11
0.11,0.0,0.11
0.146,0.0,0.146
0.082,0.0,0.082
0.168,0.0,0.168
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.148,0.0,0.148
0.107,0.0,0.107
0.107,0.0,0.107
0.128,0.0,0.128
0.107,0.0,0.107
0.048,0.0,0.048
0.048,0.0,0.048
0.048,0.0,0.048
0.048,0.0,0.048
0.048,0.0,0.048
0.064,0.0,0.064
0.064,0.0,0.064
0.064,0.0,0.064
0.064,0.0,0.064
0.064,0.0,0.064
0.064,0.0,0.064
0.064,0.0,0.064
0.064,0.0,0.064
0.064,0.0,0.064
0.064,0.0,0.064
0.06,0.0,0.06
0.06,0.0,0.06
0.06,0.0,0.06
0.06,0.0,0.06
0.06,0.0,0.06
0.062,0.0,0.062
0.062,0.0,0.062
0.062,0.0,0.062
0.062,0.0,0.062
0.062,0.0,0.062
0.03,0.0,0.03
0.034,0.0,0.034
0.034,0.0,0.034
0.034,0.0,0.034
0.034,0.0,0.034
0.034,0.0,0.034
0.034,0.0,0.034
0.034,0.0,0.034
0.034,0.0,0.034
0.034,0.0,0.034
0.166,0.0,0.166
0.166,0.0,0.166
0.166,0.0,0.166
0.166,0.0,0.166
0.166,0.0,0.166
0.166,0.0,0.166
0.019,0.0,0.019
0.351,0.0,0.351
0.351,0.0,0.351
0.351,0.0,0.351
0.351,0.0,0.351
0.351,0.0,0.351
0.351,0.0,0.351
0.351,0.0,0.351
0.351,0.0,0.351
0.143,0.0,0.143
0.143,0.0,0.143
0.143,0.0,0.143
0.134,0.0,0.134
0.134,0.0,0.134
0.134,0.0,0.134
0.134,0.0,0.134
0.134,0.0,0.134
0.134,0.0,0.134
0.134,0.0,0.134
0.14,0.0,0.14
0.14,0.0,0.14
0.14,0.0,0.14
0.14,0.0,0.14
0.058,0.0,0.058
0.054,0.0,0.054
0.054,0.0,0.054
0.054,0.0,0.054
0.054,0.0,0.054
0.05,0.0,0.05
0.05,0.0,0.05
0.05,0.0,0.05
0.05,0.0,0.05
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.125,0.0,0.125
0.088,0.0,0.088
0.088,0.0,0.088
0.088,0.0,0.088
0.088,0.0,0.088
0.097,0.0,0.097
0.077,0.0,0.077
0.087,0.0,0.087
0.087,0.0,0.087
0.084,0.0,0.084
0.084,0.0,0.084
0.084,0.0,0.084
0.084,0.0,0.084
0.084,0.0,0.084
0.079,0.0,0.079
0.079,0.0,0.079
0.174,0.0,0.174
0.174,0.0,0.174
